"invoice_no","stock_code","description","quantity","invoice_date","unit_price","customer_id","country","missing_customerID","transaction_value","return_flag"
"C536383","35004C","Set Of 3 Coloured Flying Ducks",-1,2010-12-01 09:49:00,4.65,"15311","UK",FALSE,-4.65,1
"C536391","22556","Plasters In Tin Circus Parade",-12,2010-12-01 10:24:00,1.65,"17548","UK",FALSE,-19.8,1
"C536391","21984","Pack Of 12 Pink Paisley Tissues",-24,2010-12-01 10:24:00,0.29,"17548","UK",FALSE,-6.96,1
"C536391","21983","Pack Of 12 Blue Paisley Tissues",-24,2010-12-01 10:24:00,0.29,"17548","UK",FALSE,-6.96,1
"C536391","21980","Pack Of 12 Red Retrospot Tissues",-24,2010-12-01 10:24:00,0.29,"17548","UK",FALSE,-6.96,1
"C536391","21484","Chick Grey Hot Water Bottle",-12,2010-12-01 10:24:00,3.45,"17548","UK",FALSE,-41.4,1
"C536391","22557","Plasters In Tin Vintage Paisley",-12,2010-12-01 10:24:00,1.65,"17548","UK",FALSE,-19.8,1
"C536391","22553","Plasters In Tin Skulls",-24,2010-12-01 10:24:00,1.65,"17548","UK",FALSE,-39.6,1
"C536506","22960","Jam Making Set With Jars",-6,2010-12-01 12:38:00,4.25,"17897","UK",FALSE,-25.5,1
"C536543","22632","Hand Warmer Red Retrospot",-1,2010-12-01 14:30:00,2.1,"17841","UK",FALSE,-2.1,1
"C536543","22355","Charlotte Bag Suki Design",-2,2010-12-01 14:30:00,0.85,"17841","UK",FALSE,-1.7,1
"C536606","20914","Set/5 Red Retrospot Lid Glass Bowls",-2,2010-12-02 09:10:00,2.95,"14092","UK",FALSE,-5.9,1
"C536642","21463","Mirrored Disco Ball",-1,2010-12-02 11:56:00,5.95,"14390","UK",FALSE,-5.95,1
"C536734","22780","Light Garland Butterfiles Pink",-4,2010-12-02 12:50:00,4.25,"16042","UK",FALSE,-17,1
"C536734","85048","15cm Christmas Glass Ball 20 Lights",-1,2010-12-02 12:50:00,7.95,"16042","UK",FALSE,-7.95,1
"C536737","22798","Antique Glass Dressing Table Pot",-2,2010-12-02 13:05:00,2.95,"15922","UK",FALSE,-5.9,1
"C536757","84347","Rotating Silver Angels T-Light Hldr",-9360,2010-12-02 14:23:00,0.03,"15838","UK",FALSE,-280.8,1
"C536758","21314","Small Glass Heart Trinket Pot",-1,2010-12-02 14:25:00,2.1,"13767","UK",FALSE,-2.1,1
"C536760","22175","Pink Owl Soft Toy",-1,2010-12-02 14:29:00,2.95,"17547","UK",FALSE,-2.95,1
"C536760","22273","Feltcraft Doll Molly",-3,2010-12-02 14:29:00,2.95,"17547","UK",FALSE,-8.85,1
"C536807","22778","Glass Cloche Small",-1,2010-12-02 16:45:00,3.95,"15834","UK",FALSE,-3.95,1
"C536812","22578","Wooden Star Christmas Scandinavian",-36,2010-12-02 16:58:00,0.85,"16546","UK",FALSE,-30.6,1
"C536812","22574","Heart Wooden Christmas Decoration",-192,2010-12-02 16:58:00,0.72,"16546","UK",FALSE,-138.24,1
"C536812","22593","Christmas Gingham Star",-144,2010-12-02 16:58:00,0.72,"16546","UK",FALSE,-103.68,1
"C536812","22595","Christmas Gingham Heart",-144,2010-12-02 16:58:00,0.72,"16546","UK",FALSE,-103.68,1
"C536812","22588","Card Holder Gingham Heart",-192,2010-12-02 16:58:00,2.1,"16546","UK",FALSE,-403.2,1
"C536812","22130","Party Cone Christmas Decoration",-144,2010-12-02 16:58:00,0.72,"16546","UK",FALSE,-103.68,1
"C536814","21527","Red Retrospot Traditional Teapot",-2,2010-12-02 17:03:00,7.95,"13958","UK",FALSE,-15.9,1
"C536814","72799E","Ivory Pillar Candle Silver Flock",-6,2010-12-02 17:03:00,2.95,"13958","UK",FALSE,-17.7,1
"C536814","21586","Kings Choice Giant Tube Matches",-12,2010-12-02 17:03:00,2.55,"13958","UK",FALSE,-30.6,1
"C536815","85175","Cacti T-Light Candles",-1,2010-12-02 17:05:00,0.42,"14443","UK",FALSE,-0.42,1
"C536815","22178","Victorian Glass Hanging T-Light",-1,2010-12-02 17:05:00,1.25,"14443","UK",FALSE,-1.25,1
"C536816","21129","Silver Fishing Gnome",-2,2010-12-02 17:06:00,6.95,"14443","UK",FALSE,-13.9,1
"C536818","84947","Antique Silver Tea Glass Engraved",-1,2010-12-02 17:09:00,1.25,"16995","UK",FALSE,-1.25,1
"C536820","22877","Number Tile Cottage Garden 9",-1,2010-12-02 17:14:00,1.95,"18168","UK",FALSE,-1.95,1
"C536820","22869","Number Tile Cottage Garden 1",-1,2010-12-02 17:14:00,1.95,"18168","UK",FALSE,-1.95,1
"C536820","22878","Number Tile Cottage Garden No",-1,2010-12-02 17:14:00,2.1,"18168","UK",FALSE,-2.1,1
"C536822","21430","Set/3 Red Gingham Rose Storage Box",-1,2010-12-02 17:19:00,3.75,"14625","UK",FALSE,-3.75,1
"C536825","22617","Baking Set Spaceboy Design",-1,2010-12-02 17:27:00,4.95,"15384","UK",FALSE,-4.95,1
"C536825","22197","Small Popcorn Holder",-2,2010-12-02 17:27:00,0.85,"15384","UK",FALSE,-1.7,1
"C536826","35004B","Set Of 3 Black Flying Ducks",-2,2010-12-02 17:30:00,4.65,"17924","UK",FALSE,-9.3,1
"C536826","35004B","Set Of 3 Black Flying Ducks",-3,2010-12-02 17:30:00,4.65,"17924","UK",FALSE,-13.95,1
"C536827","21527","Red Retrospot Traditional Teapot",-3,2010-12-02 17:31:00,6.95,"13408","UK",FALSE,-20.85,1
"C536828","84946","Antique Silver Tea Glass Etched",-3,2010-12-02 17:35:00,1.25,"14264","UK",FALSE,-3.75,1
"C536829","71477","Colour Glass. Star T-Light Holder",-1,2010-12-02 17:36:00,3.25,"13295","UK",FALSE,-3.25,1
"C536850","22942","Christmas Lights 10 Santas",-48,2010-12-03 09:47:00,7.65,"14213","UK",FALSE,-367.2,1
"C536850","22689","Doormat Merry Christmas Red",-50,2010-12-03 09:47:00,6.75,"14213","UK",FALSE,-337.5,1
"C536850","22591","Cardholder Gingham Christmas Tree",-50,2010-12-03 09:47:00,2.55,"14213","UK",FALSE,-127.5,1
"C536850","22580","Advent Calendar Gingham Sack",-48,2010-12-03 09:47:00,4.95,"14213","UK",FALSE,-237.6,1
"C536850","22186","Red Star Card Holder",-48,2010-12-03 09:47:00,2.55,"14213","UK",FALSE,-122.4,1
"C536853","84678","Classical Rose Small Vase",-1,2010-12-03 10:07:00,2.55,"14679","UK",FALSE,-2.55,1
"C536854","22158","3 Hearts Hanging Decoration Rustic",-1,2010-12-03 10:09:00,2.95,"15240","UK",FALSE,-2.95,1
"C536854","22944","Christmas Metal Postcard With Bells",-1,2010-12-03 10:09:00,1.25,"15240","UK",FALSE,-1.25,1
"C536854","21871","Save The Planet Mug",-1,2010-12-03 10:09:00,1.25,"15240","UK",FALSE,-1.25,1
"C536855","21527","Red Retrospot Traditional Teapot",-4,2010-12-03 10:11:00,7.95,"18225","UK",FALSE,-31.8,1
"C536979","84685","Beach Hut Key Cabinet",-1,2010-12-03 14:23:00,3.75,"17841","UK",FALSE,-3.75,1
"C536979","22630","Dolly Girl Lunch Box",-1,2010-12-03 14:23:00,1.95,"17841","UK",FALSE,-1.95,1
"C537024","20893","Hanging Bauble T-Light Holder Small",-36,2010-12-03 16:21:00,2.1,"13941","UK",FALSE,-75.6,1
"537032","21275","?",-30,2010-12-03 16:50:00,0,NA,"UK",TRUE,0,1
"C537039","22854","Cream Sweetheart Egg Holder",-1,2010-12-05 10:25:00,4.95,"15708","UK",FALSE,-4.95,1
"C537039","20936","Forked Cactus Candle",-1,2010-12-05 10:25:00,2.95,"15708","UK",FALSE,-2.95,1
"C537039","85175","Cacti T-Light Candles",-1,2010-12-05 10:25:00,0.42,"15708","UK",FALSE,-0.42,1
"C537043","22575","Metal Merry Christmas Wreath",-6,2010-12-05 10:48:00,1.95,"15351","UK",FALSE,-11.7,1
"C537043","11001","Asstd Design Racing Car Pen",-1,2010-12-05 10:48:00,1.69,"15351","UK",FALSE,-1.69,1
"C537132","71279","Pink Glass Candleholder",-2,2010-12-05 12:29:00,2.95,"15221","UK",FALSE,-5.9,1
"C537143","20685","Doormat Red Retrospot",-1,2010-12-05 12:58:00,7.95,"12748","UK",FALSE,-7.95,1
"C537157","35953","Folkart Star Christmas Decorations",-24,2010-12-05 13:09:00,1.25,"15880","UK",FALSE,-30,1
"C537203","21424","Woodland Storage Box Large",-1,2010-12-05 14:44:00,2.95,"14606","UK",FALSE,-2.95,1
"C537234","22653","Button Box",-20,2010-12-06 09:40:00,1.95,"16161","UK",FALSE,-39,1
"C537251","22429","Enamel Measuring Jug Cream",-2,2010-12-06 10:45:00,4.25,NA,"UK",TRUE,-8.5,1
"C537251","22620","4 Traditional Spinning Tops",-8,2010-12-06 10:45:00,1.25,NA,"UK",TRUE,-10,1
"C537251","21890","S/6 Wooden Skittles In Cotton Bag",-2,2010-12-06 10:45:00,2.95,NA,"UK",TRUE,-5.9,1
"C537251","22564","Alphabet Stencil Craft",-5,2010-12-06 10:45:00,1.25,NA,"UK",TRUE,-6.25,1
"C537251","21891","Traditional Wooden Skipping Rope",-3,2010-12-06 10:45:00,1.25,NA,"UK",TRUE,-3.75,1
"C537251","22747","Poppy's Playhouse Bathroom",-6,2010-12-06 10:45:00,2.1,NA,"UK",TRUE,-12.6,1
"C537251","22454","Measuring Tape Babushka Red",-8,2010-12-06 10:45:00,2.95,NA,"UK",TRUE,-23.6,1
"C537251","22327","Round Snack Boxes Set Of 4 Skulls",-4,2010-12-06 10:45:00,2.95,NA,"UK",TRUE,-11.8,1
