Line,Month,delay_minutes
Bakerloo,2015-01-01,6.04
Bakerloo,2015-02-01,6.54
Bakerloo,2015-03-01,4.77
Bakerloo,2015-04-01,5.4
Bakerloo,2015-05-01,5.23
Bakerloo,2015-06-01,5.03
Bakerloo,2015-07-01,5.14
Bakerloo,2015-08-01,5.73
Bakerloo,2015-09-01,4.8
Bakerloo,2015-10-01,5.95
Bakerloo,2015-11-01,4.76
Bakerloo,2015-12-01,6.0
Bakerloo,2016-01-01,6.67
Bakerloo,2016-02-01,5.24
Bakerloo,2016-03-01,4.83
Bakerloo,2016-04-01,5.5
Bakerloo,2016-05-01,6.19
Bakerloo,2016-06-01,5.6
Bakerloo,2016-07-01,4.64
Bakerloo,2016-08-01,4.74
Bakerloo,2016-09-01,6.96
Bakerloo,2016-10-01,5.72
Bakerloo,2016-11-01,5.4
Bakerloo,2016-12-01,5.11
Bakerloo,2017-01-01,5.65
Bakerloo,2017-02-01,4.37
Bakerloo,2017-03-01,5.3
Bakerloo,2017-04-01,4.36
Bakerloo,2017-05-01,4.48
Bakerloo,2017-06-01,5.45
Bakerloo,2017-07-01,4.8
Bakerloo,2017-08-01,4.54
Bakerloo,2017-09-01,3.99
Bakerloo,2017-10-01,5.41
Bakerloo,2017-11-01,4.78
Bakerloo,2017-12-01,5.04
Bakerloo,2018-01-01,4.77
Bakerloo,2018-02-01,5.52
Bakerloo,2018-03-01,4.99
Bakerloo,2018-04-01,5.31
Bakerloo,2018-05-01,5.45
Bakerloo,2018-06-01,4.23
Bakerloo,2018-07-01,5.68
Bakerloo,2018-08-01,4.52
Bakerloo,2018-09-01,4.87
Bakerloo,2018-10-01,5.03
Bakerloo,2018-11-01,5.45
Bakerloo,2018-12-01,5.5
Bakerloo,2019-01-01,4.02
Bakerloo,2019-02-01,5.38
Bakerloo,2019-03-01,5.86
Bakerloo,2019-04-01,5.17
Bakerloo,2019-05-01,4.84
Bakerloo,2019-06-01,5.11
Bakerloo,2019-07-01,5.19
Bakerloo,2019-08-01,5.59
Bakerloo,2019-09-01,5.57
Bakerloo,2019-10-01,5.23
Bakerloo,2019-11-01,5.39
Bakerloo,2019-12-01,6.1
Bakerloo,2020-01-01,5.88
Bakerloo,2020-02-01,5.2
Bakerloo,2020-03-01,5.01
Bakerloo,2020-04-01,5.84
Bakerloo,2020-05-01,5.28
Bakerloo,2020-06-01,4.71
Bakerloo,2020-07-01,4.19
Bakerloo,2020-08-01,4.26
Bakerloo,2020-09-01,4.18
Bakerloo,2020-10-01,4.47
Bakerloo,2020-11-01,4.55
Bakerloo,2020-12-01,4.61
Bakerloo,2021-01-01,5.06
Bakerloo,2021-02-01,4.37
Bakerloo,2021-03-01,4.15
Bakerloo,2021-04-01,3.95
Bakerloo,2021-05-01,6.08
Bakerloo,2021-06-01,4.42
Bakerloo,2021-07-01,4.34
Bakerloo,2021-08-01,4.17
Bakerloo,2021-09-01,5.13
Bakerloo,2021-10-01,3.95
Bakerloo,2021-11-01,3.53
Bakerloo,2021-12-01,5.04
Bakerloo,2022-01-01,4.67
Bakerloo,2022-02-01,3.96
Bakerloo,2022-03-01,4.27
Bakerloo,2022-04-01,4.6
Bakerloo,2022-05-01,4.87
Bakerloo,2022-06-01,4.56
Bakerloo,2022-07-01,4.36
Bakerloo,2022-08-01,4.19
Bakerloo,2022-09-01,4.48
Bakerloo,2022-10-01,4.49
Bakerloo,2022-11-01,4.85
Bakerloo,2022-12-01,5.74
Bakerloo,2023-01-01,5.14
Bakerloo,2023-02-01,5.93
Bakerloo,2023-03-01,5.84
Bakerloo,2023-04-01,6.26
Bakerloo,2023-05-01,5.07
Bakerloo,2023-06-01,4.5
Bakerloo,2023-07-01,4.96
Bakerloo,2023-08-01,4.75
Bakerloo,2023-09-01,5.22
Central,2015-01-01,7.21
Central,2015-02-01,5.23
Central,2015-03-01,5.67
Central,2015-04-01,6.1
Central,2015-05-01,5.54
Central,2015-06-01,5.85
Central,2015-07-01,6.08
Central,2015-08-01,7.95
Central,2015-09-01,7.27
Central,2015-10-01,6.64
Central,2015-11-01,6.33
Central,2015-12-01,6.09
Central,2016-01-01,7.01
Central,2016-02-01,6.33
Central,2016-03-01,6.78
Central,2016-04-01,7.04
Central,2016-05-01,10.1
Central,2016-06-01,6.91
Central,2016-07-01,5.74
Central,2016-08-01,6.17
Central,2016-09-01,6.79
Central,2016-10-01,5.45
Central,2016-11-01,4.95
Central,2016-12-01,5.36
Central,2017-01-01,6.18
Central,2017-02-01,5.68
Central,2017-03-01,4.69
Central,2017-04-01,4.78
Central,2017-05-01,6.47
Central,2017-06-01,8.2
Central,2017-07-01,5.28
Central,2017-08-01,6.05
Central,2017-09-01,5.34
Central,2017-10-01,5.71
